created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 20:43:31,"6,850",+1.33%,003410,쌍용양회,"1,035,511"
2021-03-15 20:43:31,"32,950",-0.45%,004990,롯데지주,"160,896"
2021-03-15 20:43:31,"40,350",+3.33%,006360,GS건설,"1,992,210"
2021-03-15 20:43:31,"49,500",+1.12%,336260,두산퓨얼셀,"529,726"
2021-03-15 20:43:31,"87,200",+4.06%,008770,호텔신라,"1,846,980"
2021-03-15 20:43:31,"6,240",-2.35%,028670,팬오션,"8,773,312"
2021-03-15 20:43:31,"11,400",+0.44%,005940,NH투자증권,"690,226"
2021-03-15 20:43:31,"44,550",+3.48%,005830,DB손해보험,"304,901"
2021-03-15 20:43:31,"123,000",-3.15%,039490,키움증권,"171,153"
2021-03-15 20:43:32,"81,600",0.00%,012750,에스원,"53,570"
2021-03-15 20:43:32,"65,400",-1.65%,204320,만도,"512,426"
2021-03-15 20:43:32,"66,600",-1.04%,020150,일진머티리얼즈,"194,847"
2021-03-15 20:43:32,"30,800",-2.22%,026960,동서,"218,728"
2021-03-15 20:43:32,"174,500",+1.16%,282330,BGF리테일,"43,349"
2021-03-15 20:43:32,"32,250",+0.47%,036460,한국가스공사,"208,261"
2021-03-15 20:43:32,"4,370",+2.70%,008560,메리츠증권,"3,488,530"
2021-03-15 20:43:32,"123,500",-0.80%,010060,OCI,"224,163"
2021-03-15 20:43:32,"69,300",-2.39%,112610,씨에스윈드,"668,439"
2021-03-15 20:43:32,"36,950",+0.54%,007070,GS리테일,"191,268"
2021-03-15 20:43:32,"3,225",+1.42%,088350,한화생명,"5,214,451"
2021-03-15 20:43:32,"26,450",0.00%,042660,대우조선해양,"370,618"
2021-03-15 20:43:32,"285,500",-0.52%,004170,신세계,"121,971"
2021-03-15 20:43:32,"6,300",+5.70%,047040,대우건설,"15,229,227"
2021-03-15 20:43:32,"94,700",-1.66%,001040,CJ,"87,210"
2021-03-15 20:43:32,"22,250",-0.89%,047050,포스코인터내셔널,"926,579"
2021-03-15 20:43:32,"42,250",-0.82%,081660,휠라홀딩스,"293,194"
2021-03-15 20:43:32,"13,300",0.00%,028050,삼성엔지니어링,"1,211,098"
2021-03-15 20:43:32,"37,100",+1.50%,000080,하이트진로,"661,835"
2021-03-15 20:43:32,"224,500",-1.54%,014680,한솔케미칼,"42,616"
2021-03-15 20:43:32,"61,300",+4.79%,010620,현대미포조선,"952,185"
2021-03-15 20:43:32,"21,050",-0.94%,030000,제일기획,"492,202"
2021-03-15 20:43:32,"101,000",-0.49%,009240,한샘,"45,843"
2021-03-15 20:43:32,"121,000",+2.11%,375500,DL이앤씨,"572,948"
2021-03-15 20:43:32,"52,400",0.00%,000990,DB하이텍,"599,315"
2021-03-15 20:43:32,"147,500",+3.15%,007700,F&F,"73,039"
2021-03-15 20:43:32,"20,800",0.00%,064350,현대로템,"1,705,326"
2021-03-15 20:43:32,"6,630",+3.27%,138930,BNK금융지주,"2,041,847"
2021-03-15 20:43:32,"29,500",-0.67%,000880,한화,"171,190"
2021-03-15 20:43:32,"81,400",-1.09%,011210,현대위아,"180,987"
2021-03-15 20:43:32,"580,000",-1.02%,007310,오뚜기,"5,154"
2021-03-15 20:43:32,"23,750",+1.28%,001450,현대해상,"445,285"
2021-03-15 20:43:32,"65,300",-1.06%,006260,LS,"102,863"
2021-03-15 20:43:32,"87,700",+0.46%,069960,현대백화점,"189,227"
2021-03-15 20:43:32,"19,050",-0.52%,272210,한화시스템,"799,810"
2021-03-15 20:43:32,"41,300",+0.12%,012450,한화에어로스페이스,"466,007"
2021-03-15 20:43:32,"312,000",-2.19%,006650,대한유화,"73,571"
2021-03-15 20:43:32,"32,700",-1.65%,003090,대웅,"176,369"
2021-03-15 20:43:32,"28,500",+4.01%,294870,HDC현대산업개발,"915,264"
2021-03-15 20:43:33,"45,150",+0.33%,017800,현대엘리베이,"351,868"
2021-03-15 20:43:33,"61,400",+2.85%,010120,LS ELECTRIC,"191,696"
2021-03-15 20:43:33,"207,000",+1.47%,002380,KCC,"30,127"
2021-03-15 20:43:33,"159,000",+0.63%,185750,종근당,"89,767"
